sample_size;mean_dist_1rst_neighbour;mean_dist_2nd_neighbour;mean_dist_3rd_neighbour;mean_dist_4th_neighbour;mean_dist_5th_neighbour;mean_dist_6th_neighbour;mean_dist_7th_neighbour;mean_dist_8th_neighbour;mean_dist_9th_neighbour;mean_dist_10th_neighbour;mean_dist_11th_neighbour;mean_dist_12th_neighbour;mean_dist_13th_neighbour;mean_dist_14th_neighbour
16;18,0460917;26,21259645;31,93316498;37,10309446;41,77801677;46,20244824;50,61915514;54,99545615;59,35094305;63,60340783;67,95855458;72,38720888;77,28785348;82,76967047
25;14,7099569;20,27182538;24,35447899;28,19824317;31,79135483;35,22096734;38,35997622;41,40833379;44,42723661;47,3577458;50,16505356;52,92949005;55,69190433;58,31124215
36;12,33128443;16,52965387;19,8612418;22,82681982;25,63219564;28,29973974;30,83867301;33,27006737;35,54376912;37,75225064;39,93536312;42,01557437;44,01964154;46,11416057
49;10,5258098;13,67963508;16,49314629;19,03786751;21,37644081;23,55062103;25,65739614;27,66930251;29,57016493;31,42747646;33,1844106;34,82627723;36,44709686;38,05321733
64;9,13054123;11,8273485;14,18880754;16,36976603;18,36698316;20,20271695;21,91269103;23,54464995;25,14329584;26,70296001;28,19501324;29,64693817;31,0920808;32,47124511
81;8,060545201;10,45351727;12,47889444;14,35425432;16,11870357;17,74202342;19,2573789;20,66408424;21,9976218;23,27253319;24,52685236;25,76665219;26,95879008;28,1107364
100;7,165342906;9,364232378;11,19848401;12,80829342;14,36943522;15,80123141;17,15383891;18,41258847;19,60235994;20,73141714;21,81260949;22,8344598;23,84080074;24,85667477
121;6,289688424;8,424233201;10,19532834;11,6438016;12,93803481;14,23381953;15,41804485;16,51909485;17,59457336;18,62673316;19,60499847;20,54446401;21,45429825;22,31070201
144;5,653459492;7,706837818;9,368499414;10,77546385;11,91287075;12,98208976;14,08537904;15,08373613;15,99151794;16,88323794;17,78765211;18,63809514;19,44414652;20,23330265
169;5,128373074;6,946732999;8,441726864;9,787263776;10,94058716;11,92437343;12,87222928;13,80555686;14,68115869;15,47686271;16,2350719;16,99854534;17,76632537;18,49217144
196;4,739905607;6,429426048;7,79424219;8,987706976;10,09288167;11,05371162;11,88851089;12,71730255;13,53703752;14,31087588;15,03015942;15,69779574;16,34886664;17,01573916
225;4,406195243;6,025401653;7,317559286;8,330767693;9,322234154;10,25509415;11,06414017;11,7937864;12,51766502;13,24537593;13,93960892;14,58998049;15,19817093;15,77956524
256;4,111133539;5,633510484;6,887168527;7,818235434;8,658729496;9,510175757;10,31792454;11,03043482;11,67273065;12,30718394;12,94897803;13,57002637;14,16588333;14,73085123
289;3,901127465;5,315805498;6,538667068;7,436548622;8,188093856;8,901970739;9,647306871;10,36212992;10,99019377;11,55882171;12,11091558;12,66653864;13,21460184;13,75716008
324;3,642950002;4,984548934;6,136013212;7,037406955;7,750653627;8,39747771;9,028741774;9,676292713;10,30555841;10,88404837;11,41130487;11,91060225;12,40890146;12,89741567
361;3,41503384;4,723697394;5,764103711;6,667617268;7,359807832;7,979966655;8,553066576;9,120430747;9,693440966;10,26668014;10,798867;11,28561753;11,74235167;12,18620566
400;3,220912815;4,518362595;5,454459553;6,318086084;7,00688763;7,589331702;8,133362858;8,653593255;9,160609148;9,671676116;10,18711822;10,68230709;11,13353878;11,55406907
441;3,055083773;4,330183264;5,181048028;5,98263403;6,675536772;7,247434498;7,767944547;8,261042464;8,729936052;9,193056986;9,647225398;10,1144974;10,5723682;10,99165283
484;2,89082133;4,104959714;4,902985091;5,63581909;6,312000109;6,896804436;7,411469472;7,890127956;8,340875831;8,772359067;9,192172837;9,604679199;10,02535183;10,44766502
529;2,750744425;3,910651847;4,680422177;5,357595999;6,005639523;6,588196564;7,100638576;7,558501687;7,983027441;8,387348046;8,779074207;9,15933482;9,536516769;9,921416403
576;2,634879097;3,748841894;4,492650982;5,104383092;5,715457693;6,293446684;6,804184072;7,253369238;7,663594437;8,046777173;8,415800792;8,775516988;9,123799718;9,467607983
625;2,552006268;3,61358106;4,30839721;4,869614626;5,424425961;5,976582537;6,48342098;6,938517896;7,347234204;7,721864761;8,072222883;8,411032218;8,744672347;9,065922982
