"pattern";"theoretical_intensity";"my_kappa";"my_mu";"my_scale";"expect_disp_ind"
"int1_disp2";1;0,01;100;5,5;1,998091237
"int1_disp3";1;0,01;100;3,8125;2,981880737
"int1_disp4";1;0,01;100;3,0625;4,021082813
"int1_disp5";1;0,01;100;2,625;5,031779277
"int1_disp6";1;0,01;100;2,34375;5,991725395
"int1_disp7";1;0,01;100;2,109375;7,030027876
"int1_disp8";1;0,01;100;1,95;7,955611749
"int1_disp9";1;0,01;100;1,803125;8,994855325
"int1_disp10";1;0,01;100;1,6875;9,988362941
"int1_disp11";1;0,01;100;1,5875;10,9921926
"int1_disp12";1;0,01;100;1,50625;11,98336521
"int1_disp13";1;0,01;100;1,425;13,04948958
"int1_disp14";1;0,01;100;1,3625;14,013481
"int1_disp15";1;0,01;100;1,30625;14,97974197
"int1_disp16";1;0,01;100;1,25;16,00245654
"int1_disp17";1;0,01;100;1,2;17,03596475
"int1_disp18";1;0,01;100;1,15625;18,0469843
"int1_disp19";1;0,01;100;1,115625;19,02468195
"int1_disp20";1;0,01;100;1,08125;19,96127823
"int1_disp21";1;0,01;100;1,046875;20,98927839
"int1_disp22";1;0,01;100;1,015625;21,97406627
"int1_disp23";1;0,01;100;0,98125;23,00996667
"int1_disp24";1;0,01;100;0,95625;24,00159022
"int1_disp25";1;0,01;100;0,9296875;25,00657478
"int1_disp26";1;0,01;100;0,9046875;25,96370659
"int1_disp27";1;0,01;100;0,8796875;26,9671374
"int1_disp28";1;0,01;100;0,85625;28,03641094
"int1_disp29";1;0,01;100;0,83515625;29,02217337
"int1_disp30";1;0,01;100;0,815625;29,96737049
"int1_disp31";1;0,01;100;0,7953125;30,9992582
"int1_disp32";1;0,01;100;0,7765625;31,95562465
"int1_disp33";1;0,01;100;0,759375;33,03074224
"int1_disp34";1;0,01;100;0,740625;34,03626429
"int1_disp35";1;0,01;100;0,721875;34,99660539
"int1_disp36";1;0,01;100;0,70625;36,00421495
"int1_disp37";1;0,01;100;0,691015625;36,98155238
"int1_disp38";1;0,01;100;0,675;38,01427388
"int1_disp39";1;0,01;100;0,6625;38,95358881
"int1_disp40";1;0,01;100;0,646875;39,95754615
"int1_disp41";1;0,01;100;0,63125;40,98332096
"int1_disp42";1;0,01;100;0,61875;41,95170788
"int1_disp43";1;0,01;100;0,60625;42,96624406
"int1_disp44";1;0,01;100;0,59140625;44,01152564
"int1_disp45";1;0,01;100;0,577929688;45,02018552
