"pattern";"theoretical_intensity";"my_kappa";"my_mu";"my_scale";"expect_disp_ind"
"int1_disp2";1;0,01;100;5,4;2,02087027022124
"int1_disp3";1;0,01;100;3,8;3,00004740628694
"int1_disp4";1;0,01;100;3,05;4,03287364205893
"int1_disp5";1;0,01;100;2,65;4,96368231681227
"int1_disp6";1;0,01;100;2,325;6,02719748800749
"int1_disp7";1;0,01;100;2,1125;7,00816155877552
"int1_disp8";1;0,01;100;1,9375;8,04152160002753
"int1_disp9";1;0,01;100;1,8;9,04366115101668
"int1_disp10";1;0,01;100;1,6875;9,95428504852784
"int1_disp11";1;0,01;100;1,5875;10,9961197206231
"int1_disp12";1;0,01;100;1,5;12,0400772625482
"int1_disp13";1;0,01;100;1,43125;12,9855037758561
"int1_disp14";1;0,01;100;1,3625;14,0025127708076
"int1_disp15";1;0,01;100;1,3046875;15,0275035458851
"int1_disp16";1;0,01;100;1,25;16,0292873879711
"int1_disp17";1;0,01;100;1,203125;17,0181895650722
"int1_disp18";1;0,01;100;1,15625;18,0339100850733
"int1_disp19";1;0,01;100;1,11875;19,0122480880087
"int1_disp20";1;0,01;100;1,08125;19,9968640620611
"int1_disp21";1;0,01;100;1,046875;21,0155893224361
"int1_disp22";1;0,01;100;1,01484375;21,9807057787017
"int1_disp23";1;0,01;100;0,984375;22,9821762874152
"int1_disp24";1;0,01;100;0,95625;23,9680013537763
"int1_disp25";1;0,01;100;0,93125;24,9638125078806
"int1_disp26";1;0,01;100;0,903125;26,0441612969729
"int1_disp27";1;0,01;100;0,8796875;27,0281318699594
"int1_disp28";1;0,01;100;0,85625;28,0210357287595
"int1_disp29";1;0,01;100;0,8359375;29,029671167588
"int1_disp30";1;0,01;100;0,815625;29,972018544211
"int1_disp31";1;0,01;100;0,79375;31,0449155318198
"int1_disp32";1;0,01;100;0,775;32,0308202560242
"int1_disp33";1;0,01;100;0,75625;33,0494721342669
"int1_disp34";1;0,01;100;0,740625;33,9996626455292
"int1_disp35";1;0,01;100;0,725;34,9761293759614
"int1_disp36";1;0,01;100;0,70625;36,0061127093033
