pattern;theoretical_intensity;my_r;expect_disp_ind
int1_disp0.4;1;0,69;0,392140856
int1_disp0.5;1;0,57;0,503029212
int1_disp0.6;1;0,47;0,607346939
int1_disp0.7;1;0,39;0,701144458
int1_disp0.8;1;0,29;0,810312125
int1_disp0.9;1;0,19;0,907671068
int5_disp0.4;5;0,25;0,393346939
int5_disp0.5;5;0,22;0,485631052
int5_disp0.6;5;0,19;0,585957583
int5_disp0.7;5;0,16;0,684605842
int5_disp0.8;5;0,12;0,80507563
int5_disp0.9;5;0,08;0,908160864
int10_disp0.4;10;0,17;0,392535414
int10_disp0.5;10;0,15;0,488452981
int10_disp0.6;10;0,13;0,590002401
int10_disp0.7;10;0,11;0,690319328
int10_disp0.8;10;0,09;0,783715086
int10_disp0.9;10;0,06;0,891454182
int20_disp0.4;20;0,12;0,374504202
int20_disp0.5;20;0,1;0,517054422
int20_disp0.6;20;0,09;0,589761104
int20_disp0.7;20;0,07;0,734386955
int20_disp0.8;20;0,06;0,798684274
int20_disp0.9;20;0,04;0,903909164
