"";"y";"x";"count"
"1";1;1;0
"2";2;1;10
"3";3;1;10
"4";4;1;4
"5";5;1;7
"6";6;1;6
"7";7;1;4
"8";8;1;6
"9";9;1;0
"10";10;1;0
"11";11;1;0
"12";12;1;0
"13";13;1;0
"14";14;1;0
"15";15;1;0
"16";16;1;0
"17";17;1;0
"18";18;1;0
"19";19;1;10
"20";20;1;2
"21";21;1;0
"22";22;1;0
"23";23;1;0
"24";24;1;0
"25";25;1;0
"26";26;1;4
"27";27;1;6
"28";28;1;14
"29";29;1;4
"30";30;1;0
"31";31;1;0
"32";32;1;1
"33";33;1;1
"34";34;1;0
"35";35;1;0
"36";36;1;1
"37";37;1;1
"38";38;1;0
"39";39;1;3
"40";40;1;4
"41";41;1;9
"42";42;1;0
"43";43;1;0
"44";44;1;2
"45";45;1;7
"46";46;1;7
"47";47;1;3
"48";48;1;4
"49";49;1;5
"50";50;1;7
"51";51;1;0
"52";52;1;0
"53";53;1;0
"54";54;1;0
"55";55;1;0
"56";56;1;0
"57";57;1;0
"58";58;1;0
"59";59;1;0
"60";60;1;0
"61";61;1;0
"62";62;1;0
"63";63;1;0
"64";64;1;0
"65";65;1;1
"66";66;1;1
"67";67;1;0
"68";68;1;0
"69";69;1;3
"70";70;1;8
"71";71;1;13
"72";72;1;10
"73";73;1;2
"74";74;1;0
"75";75;1;0
"76";76;1;0
"77";77;1;0
"78";78;1;0
"79";79;1;5
"80";80;1;4
"81";81;1;2
"82";82;1;4
"83";83;1;6
"84";84;1;0
"85";85;1;0
"86";86;1;0
"87";87;1;0
"88";88;1;0
"89";89;1;0
"90";90;1;0
"91";91;1;0
"92";92;1;0
"93";93;1;0
"94";94;1;0
"95";95;1;0
"96";96;1;1
"97";97;1;0
"98";98;1;0
"99";99;1;0
"100";100;1;0
"101";1;2;0
"102";2;2;2
"103";3;2;4
"104";4;2;8
"105";5;2;10
"106";6;2;4
"107";7;2;10
"108";8;2;10
"109";9;2;2
"110";10;2;0
"111";11;2;0
"112";12;2;0
"113";13;2;0
"114";14;2;0
"115";15;2;0
"116";16;2;0
"117";17;2;0
"118";18;2;0
"119";19;2;0
"120";20;2;0
"121";21;2;0
"122";22;2;0
"123";23;2;0
"124";24;2;0
"125";25;2;1
"126";26;2;6
"127";27;2;5
"128";28;2;7
"129";29;2;5
"130";30;2;3
"131";31;2;3
"132";32;2;3
"133";33;2;9
"134";34;2;4
"135";35;2;7
"136";36;2;5
"137";37;2;3
"138";38;2;5
"139";39;2;7
"140";40;2;3
"141";41;2;5
"142";42;2;3
"143";43;2;1
"144";44;2;4
"145";45;2;4
"146";46;2;1
"147";47;2;2
"148";48;2;8
"149";49;2;13
"150";50;2;5
"151";51;2;0
"152";52;2;0
"153";53;2;0
"154";54;2;1
"155";55;2;0
"156";56;2;0
"157";57;2;1
"158";58;2;0
"159";59;2;0
"160";60;2;0
"161";61;2;0
"162";62;2;0
"163";63;2;0
"164";64;2;1
"165";65;2;6
"166";66;2;0
"167";67;2;1
"168";68;2;1
"169";69;2;3
"170";70;2;2
"171";71;2;3
"172";72;2;4
"173";73;2;2
"174";74;2;0
"175";75;2;4
"176";76;2;5
"177";77;2;1
"178";78;2;0
"179";79;2;0
"180";80;2;4
"181";81;2;8
"182";82;2;10
"183";83;2;3
"184";84;2;1
"185";85;2;0
"186";86;2;0
"187";87;2;0
"188";88;2;0
"189";89;2;0
"190";90;2;0
"191";91;2;0
"192";92;2;0
"193";93;2;0
"194";94;2;0
"195";95;2;0
"196";96;2;0
"197";97;2;1
"198";98;2;0
"199";99;2;1
"200";100;2;0
"201";1;3;0
"202";2;3;7
"203";3;3;4
"204";4;3;1
"205";5;3;8
"206";6;3;3
