"";"y";"x";"count"
"1";1;1;0
"2";2;1;0
"3";3;1;0
"4";4;1;0
"5";5;1;0
"6";6;1;0
"7";7;1;0
"8";8;1;0
"9";9;1;0
"10";10;1;0
"11";11;1;0
"12";12;1;0
"13";13;1;0
"14";14;1;0
"15";15;1;0
"16";16;1;0
"17";17;1;0
"18";18;1;1
"19";19;1;0
"20";20;1;0
"21";21;1;0
"22";22;1;0
"23";23;1;0
"24";24;1;0
"25";25;1;1
"26";26;1;0
"27";27;1;1
"28";28;1;0
"29";29;1;1
"30";30;1;2
"31";31;1;0
"32";32;1;0
"33";33;1;1
"34";34;1;0
"35";35;1;0
"36";36;1;1
"37";37;1;1
"38";38;1;0
"39";39;1;1
"40";40;1;0
"41";41;1;0
"42";42;1;0
"43";43;1;0
"44";44;1;0
"45";45;1;1
"46";46;1;0
"47";47;1;1
"48";48;1;0
"49";49;1;1
"50";50;1;0
"51";51;1;0
"52";52;1;0
"53";53;1;0
"54";54;1;2
"55";55;1;3
"56";56;1;1
"57";57;1;1
"58";58;1;2
"59";59;1;0
"60";60;1;0
"61";61;1;2
"62";62;1;1
"63";63;1;2
"64";64;1;1
"65";65;1;2
"66";66;1;3
"67";67;1;3
"68";68;1;2
"69";69;1;1
"70";70;1;1
"71";71;1;3
"72";72;1;2
"73";73;1;3
"74";74;1;0
"75";75;1;4
"76";76;1;0
"77";77;1;0
"78";78;1;4
"79";79;1;3
"80";80;1;4
"81";81;1;0
"82";82;1;1
"83";83;1;1
"84";84;1;3
"85";85;1;1
"86";86;1;1
"87";87;1;1
"88";88;1;1
"89";89;1;2
"90";90;1;0
"91";91;1;0
"92";92;1;0
"93";93;1;0
"94";94;1;0
"95";95;1;0
"96";96;1;0
"97";97;1;2
"98";98;1;2
"99";99;1;0
"100";100;1;0
"101";1;2;0
"102";2;2;0
"103";3;2;0
"104";4;2;1
"105";5;2;0
"106";6;2;0
"107";7;2;0
"108";8;2;0
"109";9;2;0
"110";10;2;0
"111";11;2;0
"112";12;2;0
"113";13;2;0
"114";14;2;0
"115";15;2;1
"116";16;2;0
"117";17;2;0
"118";18;2;0
"119";19;2;0
"120";20;2;0
"121";21;2;0
"122";22;2;0
"123";23;2;0
"124";24;2;0
"125";25;2;2
"126";26;2;0
"127";27;2;1
"128";28;2;2
"129";29;2;0
"130";30;2;0
"131";31;2;1
"132";32;2;0
"133";33;2;0
"134";34;2;0
"135";35;2;1
"136";36;2;1
"137";37;2;3
"138";38;2;3
"139";39;2;1
"140";40;2;0
"141";41;2;1
"142";42;2;1
"143";43;2;0
