"";"my_intensity";"pattern";"theoretical_intensity";"process_type";"my_kappa";"my_mu";"my_scale";"my_r";"expect_disp_ind";"nsim";"sample_size";"intensity";"pop_size";"dispersion_index";"mean_random";"median_random";"var_random";"mean_syst";"median_syst";"var_syst";"mean_BAS";"median_BAS";"var_BAS";"prop_zero_random";"prop_zero_syst";"prop_zero_BAS";"biais_random";"biais_syst";"biais_BAS";"MSE_random";"MSE_syst";"MSE_BAS";"RMSE_random";"RMSE_syst";"RMSE_BAS";"var_ratio_syst";"var_ratio_BAS";"cluster_diam"
"9";"intensity = 1";"int1_disp0.4";1;"SSI";NA;NA;NA;0,69;0,392140856;5000;"400";1;10000;0,390778437843784;1,0002395;1;0,000907615412832566;1,0003915;1;0,000992826543058612;1,000429;1;0,000935925644128826;0,1873295;0,187227;0,1870125;0,000239499999999948;0,0003915000000001;0,000429000000000013;0,00090749125;0,00099278125;0,0009359225;0,0301245954329681;0,0315084314112905;0,0305928504719649;1,09388462229846;1,03119188027879;NA
"18";"intensity = 1";"int1_disp0.6";1;"SSI";NA;NA;NA;0,47;0,607346939;5000;"400";1;10000;0,608634903490349;1,0005225;1;0,00143097693913783;1,000484;1;0,00148525779555911;0,9994545;1;0,00147737665508102;0,2715095;0,27207;0,272326;0,000522499999999981;0,000483999999999929;-0,000545499999999977;0,00143096375;0,001485195;0,00147737875;0,037828081500388;0,0385382277745098;0,0384366849507082;1,03793272619333;1,03242520174444;NA
"27";"intensity = 1";"int1_disp0.8";1;"SSI";NA;NA;NA;0,29;0,810312125;5000;"400";1;10000;0,808348914891489;1,00012;1;0,00197764612922584;0,999519;1;0,00192563626625325;1,000522;1;0,00197906832966593;0,328203;0,327569;0,3277695;0,000119999999999898;-0,000480999999999954;0,000521999999999911;0,001977265;0,0019254825;0,001978945;0,0444664480254495;0,043880320190263;0,0444853346621108;0,973701127717448;1,00071913797877;NA
"36";"intensity = 1";"int1_disp1";1;"poisson";NA;NA;NA;NA;1;10000;"400";1,00018873;10001,8873;0,999982908260623;1,00053975;1;0,00249190848578608;1,00022575;1;0,00247663357529503;1,00054125;1;0,0024943558590234;0,3675675;0,36744225;0,36736075;0,000351019999999869;3,70199999999432e-05;0,000352519999999856;0,00238674838;0,00237512043;0,00238124238;0,0488543588638721;0,0487352072941113;0,0487979751629102;0,993870196045249;1,00098212805618;NA
"45";"intensity = 1";"int1_disp2";1;"Matern_cluster";0,01;100;5,5;NA;1,998091237;10000;"400";0,99961692;9996,1692;1,97828163248612;0,99999725;0,9975;0,0140262957470122;0,99935275;0,9975;0,0120440723496725;0,99970125;0,9975;0,0127188232557631;0,5282665;0,5284765;0,52846;0,000380329999999929;-0,000264170000000008;8,43299999999658e-05;0,004771352135;0,002515794985;0,003024968235;0,0690749747375994;0,050157701153462;0,0549997112265146;0,85867805491254;0,906784192003963;11
"54";"intensity = 1";"int1_disp3";1;"Matern_cluster";0,01;100;3,8125;NA;2,981880737;10000;"400";1,00103338;10010,3338;2,9888112774058;1,0016205;0,9975;0,017084806210371;1,00163325;0,9975;0,0126766632857661;1,000615;0,9975;0,0135991741924192;0,64238625;0,642397;0,64254725;0,000587120000000052;0,000599870000000058;-0,00041837999999994;0,00736832133;0,003117354205;0,00423731658;0,0858389266591795;0,0558332714875279;0,0650946739756795;0,741984610751448;0,795980593807619;7,625
"63";"intensity = 1";"int1_disp4";1;"Matern_cluster";0,01;100;3,0625;NA;4,021082813;10000;"400";1,00130122;10013,0122;4,01846578927106;1,001858;1;0,0196318735233523;1,00096225;1;0,0131172239223297;1,002742;1;0,0158932257585759;0,71837075;0,7183795;0,71820725;0,000556779999999923;-0,00033897000000005;0,00144078000000003;0,00977424722;0,003403888595;0,00601882152;0,0988647926210337;0,0583428538468937;0,0775810641845032;0,668159557299849;0,809562354793631;6,125
"72";"intensity = 1";"int1_disp5";1;"Matern_cluster";0,01;100;2,625;NA;5,031779277;10000;"400";0,9986731;9986,731;5,02534549025744;0,99809425;0,9925;0,0213369674386814;0,9994415;0,995;0,0136749618239324;0,9983395;0,995;0,0176438496247125;0,767877;0,76774325;0,7676845;-0,00057885000000002;0,000768400000000002;-0,000333599999999934;0,012019857949;0,003888692674;0,007728000624;0,109635112755905;0,062359383207341;0,0879090474524665;0,640904658229047;0,826914587343199;5,25
"81";"intensity = 1";"int1_disp6";1;"Matern_cluster";0,01;100;2,34375;NA;5,991725395;10000;"400";1,00144131;10014,4131;5,96641780946446;1,002363;0,995;0,024498493580358;1,00076225;0,9975;0,0152516860185394;1,00044275;0,9975;0,019133775474985;0,7991735;0,7993775;0,799375;0,000921689999999975;-0,000679059999999954;-0,000998559999999982;0,014525314429;0,005297696754;0,009512628454;0,120521012396179;0,0727852784153499;0,0975327045354531;0,622556075479171;0,781018449653808;4,6875
"90";"intensity = 1";"int1_disp7";1;"Matern_cluster";0,01;100;2,109375;NA;7,030027876;10000;"400";1,00014243;10001,4243;7,0199336468819;1,001685;0,995;0,0267252970547055;1,00019525;0,9975;0,0173598447369112;1,00214175;1;0,021341626444582;0,825578;0,82552525;0,825566;0,00154257000000002;5,28200000000645e-05;0,00199932000000014;0,016794141041;0,007636590416;0,011948477116;0,129592210572241;0,0873875873107846;0,10930908981416;0,649566016099891;0,798555256500858;4,21875
"99";"intensity = 1";"int1_disp8";1;"Matern_cluster";0,01;100;1,95;NA;7,955611749;10000;"400";0,99878667;9987,8667;7,94744500226116;0,9973125;0,9925;0,0281408314268927;0,99948775;0,995;0,0192373357085084;1,00220228007519;0,9975;0,0235343187464354;0,84334425;0,84322075;0,84276675;-0,00147416999999994;0,000701080000000021;0,00341561007518798;0,018879209017;0,009944764492;0,0137022057213459;0,137401633967723;0,099723440032923;0,117056421102586;0,683609358113146;0,836305025584456;3,9
"108";"intensity = 1";"int1_disp9";1;"Matern_cluster";0,01;100;1,803125;NA;8,994855325;10000;"400";1,00133744;10013,3744;8,98875119191369;1,0014615;0,99625;0,0318357175895089;1,00155725;0,9975;0,022891872284666;1,00289925;1;0,0262122987043079;0,8580005;0,85834925;0,85811525;0,000124060000000092;0,000219810000000153;0,00156181000000011;0,021676311838;0,012862194013;0,016480270663;0,147228773811372;0,113411613219282;0,128375506476119;0,719062550429512;0,823361327747984;3,60625
"117";"intensity = 1";"int1_disp10";1;"Matern_cluster";0,01;100;1,6875;NA;9,988362941;10000;"400";0,99993543;9999,3543;9,98438553778435;0,99975575;0,995;0,0335949667136089;1,00041825;0,9975;0,0243926487068082;0,99831449122807;0,9925;0,0284103794629306;0,87001275;0,8700295;0,8702015;-0,000179679999999904;0,000482820000000106;-0,00162093877192981;0,02384047962;0,01480360882;0,0184885934124361;0,154403625669866;0,121670081860743;0,135972767172093;0,726080454692847;0,845673689904921;3,375
"126";"intensity = 1";"int1_disp11";1;"Matern_cluster";0,01;100;1,5875;NA;10,9921926;10000;"400";1,0000972;10000,972;10,9989949518179;1,00183225;0,995;0,0367360895938969;1,00067625;0,995;0,0278399535562931;0,9982455;0,9925;0,0298454425240024;0,8797165;0,87994;0,879976;0,00173505000000018;0,000579050000000025;-0,0018516999999999;0,026977309339;0,017710279339;0,020107278414;0,164247707256448;0,133079973470842;0,141800135451275;0,757836608742328;0,812428400897649;3,175
"135";"intensity = 1";"int1_disp12";1;"Matern_cluster";0,01;100;1,50625;NA;11,98336521;10000;"400";1,00044398;10004,4398;11,9575106150457;1,0041075;0,995;0,038706861629913;1,0004175;0,9925;0,0297349104347935;0,997595260651629;0,99;0,0327106760777972;0,887588;0,887751;0,888039;0,00366351999999992;-2,64800000000509e-05;-0,00284871934837094;0,028443752788;0,019921712538;0,0226681244151371;0,168652758020733;0,141144296866717;0,150559371728023;0,768207733272131;0,845087271361678;3,0125
"144";"intensity = 1";"int1_disp13";1;"Matern_cluster";0,01;100;1,425;NA;13,04948958;10000;"400";1,00113464;10011,3464;13,0480264103127;1,0011035;0,9925;0,0414087619139414;0,9995315;0,9925;0,0329719064483948;1,000106;0,99;0,0354333145954595;0,89538875;0,8954355;0,89538525;-3,11400000001516e-05;-0,00160314000000006;-0,00102864000000014;0,031525677476;0,023009195076;0,025151105126;0,177554716850891;0,151687821119561;0,158590999511322;0,796254341458443;0,855696064255665;2,85
"153";"intensity = 1";"int1_disp14";1;"Matern_cluster";0,01;100;1,3625;NA;14,013481;10000;"400";1,0006173;10006,173;13,9922208345324;1,000926;0,9925;0,0439625675307531;1,000865;0,995;0,0357276270377038;1,0002325;0,9925;0,037016760119762;0,90106925;0,90111825;0,90103825;0,00030869999999994;0,000247699999999851;-0,000384799999999963;0,033131156904;0,025473186704;0,027272577904;0,182019660762237;0,159603216458817;0,165144112532055;0,812682903761507;0,842006329449882;2,725
