"species";"sampling_method";"sample_size";"var_ratio"
"SANMIN";"SYS";9;0,748
"SANMIN";"SYS";16;1,005
"SANMIN";"SYS";25;0,954
"SANMIN";"SYS";36;0,565
"SANMIN";"SYS";49;1,084
"SANMIN";"SYS";64;1,431
"SANMIN";"SYS";81;0,715
"SANMIN";"SYS";100;0,535
"SANMIN";"SYS";121;0,48
"SANMIN";"SYS";144;0,579
"SANMIN";"SYS";169;0,408
"SANMIN";"SYS";196;0,533
"SANMIN";"SYS";225;0,585
"SANMIN";"SYS";256;0,674
"SANMIN";"SYS";289;0,426
"SANMIN";"SYS";324;0,511
"SANMIN";"SYS";361;0,398
"SANMIN";"SYS";400;0,226
"SANMIN";"SYS";441;0,626
"SANMIN";"SYS";484;0,465
"SANMIN";"SYS";529;0,534
"SANMIN";"SYS";576;0,728
"SANMIN";"SYS";625;0,372
"SANMIN";"SYS";676;0,329
"SANMIN";"SYS";729;0,234
"SANMIN";"SYS";784;0,397
"SANMIN";"SYS";841;0,457
"SANMIN";"SYS";900;0,305
"SANMIN";"SYS";961;0,323
"SANMIN";"SYS";1024;0,508
"SANMIN";"SYS";1089;0,75
"SANMIN";"SYS";1156;0,322
"SANMIN";"SYS";1225;0,37
"SANMIN";"SYS";1296;0,317
"SANMIN";"SYS";1369;0,312
"SANMIN";"SYS";1444;0,517
"SANMIN";"SYS";1521;0,268
"SANMIN";"SYS";1600;0,161
"SANMIN";"SYS";1681;0,218
"SANMIN";"SYS";1764;0,446
"SANMIN";"SYS";1849;0,639
"SANMIN";"SYS";1936;0,429
"SANMIN";"SYS";2025;0,505
"SANMIN";"SYS";2116;0,704
"SANMIN";"SYS";2209;0,435
"SANMIN";"SYS";2304;0,72
"SANMIN";"SYS";2401;0,37
"SANMIN";"SYS";2500;0,646
"SANMIN";"SYS";2601;0,285
"SANMIN";"SYS";2704;0,797
"SANMIN";"SYS";2809;0,486
"SANMIN";"SYS";2916;0,689
"SANMIN";"SYS";3025;0,612
"SANMIN";"SYS";3136;0,432
"SANMIN";"SYS";3249;0,685
"SANMIN";"SYS";3364;0,457
"SANMIN";"SYS";3481;0,247
"SANMIN";"SYS";3600;0,147
"LIMGIR";"SYS";9;1,035
"LIMGIR";"SYS";16;0,984
"LIMGIR";"SYS";25;0,75
"LIMGIR";"SYS";36;0,99
"LIMGIR";"SYS";49;0,853
"LIMGIR";"SYS";64;0,681
"LIMGIR";"SYS";81;1,019
"LIMGIR";"SYS";100;0,729
"LIMGIR";"SYS";121;0,783
"LIMGIR";"SYS";144;0,85
"LIMGIR";"SYS";169;0,824
"LIMGIR";"SYS";196;0,718
"LIMGIR";"SYS";225;0,668
"LIMGIR";"SYS";256;0,479
"LIMGIR";"SYS";289;0,316
"LIMGIR";"SYS";324;0,392
"LIMGIR";"SYS";361;0,437
"LIMGIR";"SYS";400;0,845
"LIMGIR";"SYS";441;0,612
"LIMGIR";"SYS";484;0,281
"LIMGIR";"SYS";529;0,488
"LIMGIR";"SYS";576;0,359
"LIMGIR";"SYS";625;0,543
"LIMGIR";"SYS";676;0,532
"LIMGIR";"SYS";729;0,254
"LIMGIR";"SYS";784;0,242
"LIMGIR";"SYS";841;0,346
"LIMGIR";"SYS";900;0,389
"LIMGIR";"SYS";961;0,421
"LIMGIR";"SYS";1024;0,36
"LIMGIR";"SYS";1089;0,338
"LIMGIR";"SYS";1156;0,258
"LIMGIR";"SYS";1225;0,46
"LIMGIR";"SYS";1296;0,262
"LIMGIR";"SYS";1369;0,463
"LIMGIR";"SYS";1444;0,522
"LIMGIR";"SYS";1521;0,247
"LIMGIR";"SYS";1600;0,506
"LIMGIR";"SYS";1681;0,258
"LIMGIR";"SYS";1764;0,276
"LIMGIR";"SYS";1849;0,51
"LIMGIR";"SYS";1936;0,579
"LIMGIR";"SYS";2025;0,454
"LIMGIR";"SYS";2116;0,292
"LIMGIR";"SYS";2209;0,368
"LIMGIR";"SYS";2304;0,538
"LIMGIR";"SYS";2401;0,285
"LIMGIR";"SYS";2500;0,439
"LIMGIR";"SYS";2601;0,261
"LIMGIR";"SYS";2704;0,517
"LIMGIR";"SYS";2809;0,376
"LIMGIR";"SYS";2916;0,29
"LIMGIR";"SYS";3025;0,583
"LIMGIR";"SYS";3136;0,721
"LIMGIR";"SYS";3249;0,52
"LIMGIR";"SYS";3364;0,265
"LIMGIR";"SYS";3481;0,288
"LIMGIR";"SYS";3600;0,611
"BELSYL";"SYS";9;1,03
"BELSYL";"SYS";16;0,716
"BELSYL";"SYS";25;1,052
"BELSYL";"SYS";36;1,03
"BELSYL";"SYS";49;0,983
"BELSYL";"SYS";64;0,954
"BELSYL";"SYS";81;0,832
"BELSYL";"SYS";100;1,107
"BELSYL";"SYS";121;0,769
"BELSYL";"SYS";144;1,011
"BELSYL";"SYS";169;1,193
"BELSYL";"SYS";196;0,809
"BELSYL";"SYS";225;1,235
"BELSYL";"SYS";256;0,844
"BELSYL";"SYS";289;0,986
"BELSYL";"SYS";324;0,757
"BELSYL";"SYS";361;0,808
"BELSYL";"SYS";400;0,94
"BELSYL";"SYS";441;0,733
"BELSYL";"SYS";484;0,62
"BELSYL";"SYS";529;0,822
